frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745911162.762311000",,,,,,,,,,,,,"172.20.10.6","172.20.10.5","1"
"1745911162.762332000",,,,,,,,,,,,,"172.20.10.5","172.20.10.6","2"
"1745911162.774976000",,,,,,,,,,,,,"172.20.10.6","172.20.10.1","1"
"1745911162.794025000",,,,,,,,,,,,,"172.20.10.1","172.20.10.6","2"
"1745911163.792535000","172.20.10.1","172.20.10.5","28","8",,,,,,,,"64",,,
"1745911163.792598000","172.20.10.5","172.20.10.1","28","0",,,,,,,,"64",,,
"1745911163.792958000","172.20.10.5","172.20.10.1","28","8",,,,,,,,"64",,,
"1745911163.793451000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911163.793451000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911163.793712000",,,,,,,,,,,,,"172.20.10.5","172.20.10.5","1"
"1745911163.818602000","172.20.10.1","172.20.10.5","28","0",,,,,,,,"64",,,
"1745911164.807735000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911164.808065000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911165.821189000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911165.821421000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911166.835373000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911166.835478000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911167.849670000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911167.850261000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911173.975410000","172.20.10.6","172.20.10.1","86",,"53","66",,,,,,"64",,,
"1745911174.313376000","172.20.10.1","172.20.10.6","278",,"47921","258",,,,,,"64",,,
"1745911174.317384000","172.20.10.6","91.189.91.49","60",,,,"1","0","80","0","0","64",,,
"1745911174.621884000","91.189.91.49","172.20.10.6","60",,,,"1","1","38478","0","1","44",,,
"1745911174.622781000","172.20.10.6","91.189.91.49","52",,,,"0","1","80","1","1","64",,,
"1745911174.623276000","172.20.10.6","91.189.91.49","140",,,,"0","1","80","1","1","64",,,
"1745911174.933253000","91.189.91.49","172.20.10.6","241",,,,"0","1","38478","1","89","44",,,
"1745911174.933254000","91.189.91.49","172.20.10.6","52",,,,"0","1","38478","190","89","44",,,
"1745911174.933998000","172.20.10.6","91.189.91.49","52",,,,"0","1","80","89","190","64",,,
"1745911174.934680000","172.20.10.6","91.189.91.49","52",,,,"0","1","80","89","191","64",,,
"1745911175.248879000","91.189.91.49","172.20.10.6","52",,,,"0","1","38478","191","90","44",,,
"1745911175.979551000","172.20.10.6","172.20.10.1","86",,"53","66",,,,,,"64",,,
"1745911176.154870000",,,,,,,"0","1","443","1","1",,,,
"1745911176.216725000","172.20.10.1","172.20.10.6","422",,"43125","402",,,,,,"64",,,
"1745911176.221092000",,,,,,,"1","0","80","0","0",,,,
"1745911176.567806000",,,,,,,"1","1","42552","0","1",,,,
"1745911176.568437000",,,,,,,"0","1","80","1","1",,,,
"1745911176.568892000",,,,,,,"0","1","80","1","1",,,,
"1745911176.978686000",,,,,,,"0","1","42552","1","89",,,,
"1745911176.979155000",,,,,,,"0","1","80","89","186",,,,
"1745911176.979400000",,,,,,,"0","1","42552","186","89",,,,
"1745911176.979766000",,,,,,,"0","1","80","89","187",,,,
"1745911177.180853000",,,,,"123","56",,,,,,,,,
"1745911177.277293000",,,,,,,"0","1","42552","187","90",,,,
"1745911177.490263000",,,,,"52382","56",,,,,,,,,
"1745911177.876462000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911177.876787000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911177.876900000",,,,,,,,,,,,,"172.20.10.5","172.20.10.5","1"
"1745911181.415766000",,,,,,,,,,,,,,,
"1745911181.416249000",,,,,,,,,,,,,,,
"1745911181.904661000","172.20.10.6","172.20.10.1","73",,"53","53",,,,,,"64",,,
"1745911181.904967000","172.20.10.6","172.20.10.1","73",,"53","53",,,,,,"64",,,
"1745911181.980380000",,,,,"123","56",,,,,,,,,
"1745911182.238579000","172.20.10.1","172.20.10.6","185",,"52047","165",,,,,,"64",,,
"1745911182.238579000","172.20.10.1","172.20.10.6","137",,"51205","117",,,,,,"64",,,
"1745911182.241592000",,,,,,,"1","0","443","0","0",,,,
"1745911182.277057000",,,,,"44727","56",,,,,,,,,
"1745911182.334336000",,,,,,,,,,,,,,,
"1745911182.339087000",,,,,,,,,,,,,,,
"1745911182.378709000",,,,,,,,,,,,,,,
"1745911182.378842000",,,,,,,,,,,,,,,
"1745911182.545241000","172.20.10.6","185.125.188.58","60",,,,"1","0","443","0","0","64",,,
"1745911182.547654000",,,,,,,"1","1","49156","0","1",,,,
"1745911182.548400000",,,,,,,"0","1","443","1","1",,,,
"1745911182.549404000",,,,,,,"0","1","443","1","1",,,,
"1745911183.064201000","185.125.188.58","172.20.10.6","60",,,,"1","1","48468","0","1","41",,,
"1745911183.064201000",,,,,,,"0","1","49156","1","265",,,,
"1745911183.064201000",,,,,,,"0","1","49156","2757","265",,,,
"1745911183.064852000","172.20.10.6","185.125.188.58","40",,,,"0","0","443","1","0","64",,,
"1745911183.065342000",,,,,,,"0","1","443","265","1379",,,,
"1745911183.065687000",,,,,,,"0","1","443","265","2757",,,,
"1745911183.065950000",,,,,,,"0","1","443","265","3557",,,,
"1745911183.069955000",,,,,,,"0","1","443","265","3557",,,,
"1745911183.071357000",,,,,,,"0","1","443","345","3557",,,,
"1745911183.071927000",,,,,,,"0","1","443","1553","3557",,,,
"1745911183.072001000",,,,,,,"0","1","443","2931","3557",,,,
"1745911183.496184000",,,,,,,"0","1","49156","3557","345",,,,
"1745911183.496185000",,,,,,,"0","1","49156","3636","345",,,,
"1745911183.496185000",,,,,,,"0","1","49156","3715","3556",,,,
"1745911183.497053000",,,,,,,"0","1","443","3556","3715",,,,
"1745911183.500757000",,,,,,,"0","1","49156","3715","3556",,,,
"1745911183.536390000",,,,,,,"0","1","443","3556","4844",,,,
"1745911183.536658000",,,,,,,"0","1","443","4934","4844",,,,
"1745911183.537562000",,,,,,,"0","1","443","6312","4844",,,,
"1745911183.537787000",,,,,,,"0","1","443","7136","4844",,,,
"1745911183.538306000",,,,,,,"0","1","443","7696","4844",,,,
"1745911184.098152000",,,,,,,"0","1","49156","4844","7136",,,,
"1745911184.098153000",,,,,,,"0","1","49156","4844","8450",,,,
"1745911184.098153000",,,,,,,"0","1","49156","4844","8450",,,,
"1745911184.098153000",,,,,,,"0","1","49156","7600","8450",,,,
"1745911184.098153000",,,,,,,"0","1","49156","10356","8450",,,,
"1745911184.098218000",,,,,,,"0","1","49156","13112","8450",,,,
"1745911184.098218000",,,,,,,"0","1","49156","15868","8450",,,,
"1745911184.098831000",,,,,,,"0","1","443","8450","7600",,,,
"1745911184.099391000",,,,,,,"0","1","443","8450","18624",,,,
"1745911184.504942000",,,,,,,"0","1","49156","18624","8450",,,,
"1745911184.508031000",,,,,,,"0","1","49156","20002","8450",,,,
"1745911184.508032000",,,,,,,"0","1","49156","21380","8450",,,,
"1745911184.508032000",,,,,,,"0","1","49156","24136","8450",,,,
"1745911184.508032000",,,,,,,"0","1","49156","26892","8450",,,,
"1745911184.508032000",,,,,,,"0","1","49156","29648","8450",,,,
"1745911184.508132000",,,,,,,"0","1","49156","32404","8450",,,,
"1745911184.508132000",,,,,,,"0","1","49156","35160","8450",,,,
"1745911184.508132000",,,,,,,"0","1","49156","37916","8450",,,,
"1745911184.508132000",,,,,,,"0","1","49156","40672","8450",,,,
"1745911184.508326000",,,,,,,"0","1","49156","43428","8450",,,,
"1745911184.508473000",,,,,,,"0","1","443","8450","21380",,,,
"1745911184.509216000",,,,,,,"0","1","443","8450","31026",,,,
"1745911184.510579000",,,,,,,"0","1","443","8450","44965",,,,
"1745911184.766398000",,,,,,,"1","0","443","0","0",,,,
"1745911185.060997000","172.20.10.6","185.125.188.59","60",,,,"1","0","443","0","0","64",,,
"1745911185.111679000",,,,,,,"1","1","57704","0","1",,,,
"1745911185.111766000",,,,,,,"0","1","443","1","1",,,,
