frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745911097.905626000",,,,,,,,,,,,,"172.20.10.6","172.20.10.5","1"
"1745911097.905688000",,,,,,,,,,,,,"172.20.10.5","172.20.10.6","2"
"1745911097.917716000",,,,,,,,,,,,,"172.20.10.6","172.20.10.1","1"
"1745911097.923855000",,,,,,,,,,,,,"172.20.10.1","172.20.10.6","2"
"1745911098.933555000","172.20.10.1","172.20.10.5","28","8",,,,,,,,"64",,,
"1745911098.933633000","172.20.10.5","172.20.10.1","28","0",,,,,,,,"64",,,
"1745911098.934078000","172.20.10.5","172.20.10.1","28","8",,,,,,,,"64",,,
"1745911098.934356000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911098.934664000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911098.935197000",,,,,,,,,,,,,"172.20.10.5","172.20.10.5","1"
"1745911098.979768000","172.20.10.1","172.20.10.5","28","0",,,,,,,,"64",,,
"1745911099.950813000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911099.950991000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911100.963390000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911100.963579000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911101.976773000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911101.976848000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911102.990419000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911102.990419000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911111.309480000",,,,,,,"False","True","443","1","1",,,,
"1745911111.681247000",,,,,"123","56",,,,,,,,,
"1745911112.310781000",,,,,"52970","56",,,,,,,,,
"1745911113.011167000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911113.011531000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911115.759138000",,,,,,,,,,,,,,,
"1745911116.322914000",,,,,,,,,,,,,,,
"1745911116.322915000",,,,,,,,,,,,,,,
"1745911116.323049000",,,,,,,,,,,,,,,
"1745911116.798717000",,,,,,,,,,,,,,,
"1745911116.812111000",,,,,,,,,,,,,,,
"1745911116.891409000",,,,,"123","56",,,,,,,,,
"1745911117.328356000",,,,,,,,,,,,,,,
"1745911117.629547000",,,,,"46622","56",,,,,,,,,
"1745911119.505922000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911119.505922000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
"1745911120.512078000",,,,,,,,,,,,,"172.20.10.1","172.20.10.5","2"
"1745911120.512078000",,,,,,,,,,,,,"172.20.10.5","172.20.10.1","2"
