frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1746182600.365320000",,,,,,,,,,,,,"192.168.45.1","192.168.45.22","1"
"1746182600.365330000",,,,,,,,,,,,,"192.168.45.1","192.168.45.100","1"
"1746182600.365331000",,,,,,,,,,,,,"192.168.45.1","192.168.45.233","1"
"1746182600.365331000",,,,,,,,,,,,,"192.168.45.1","192.168.45.101","1"
"1746182600.365336000",,,,,,,,,,,,,"192.168.45.101","192.168.45.1","2"
"1746182600.365400000",,,,,,,,,,,,,"192.168.45.1","192.168.45.72","1"
"1746182602.950844000",,,,,,,,,,,,,"192.168.45.1","192.168.45.22","1"
"1746182602.950877000",,,,,,,,,,,,,"192.168.45.1","192.168.45.100","1"
"1746182602.950882000",,,,,,,,,,,,,"192.168.45.1","192.168.45.233","1"
"1746182602.950885000",,,,,,,,,,,,,"192.168.45.1","192.168.45.101","1"
"1746182602.950997000",,,,,,,,,,,,,"192.168.45.101","192.168.45.1","2"
"1746182602.951477000",,,,,,,,,,,,,"192.168.45.1","192.168.45.72","1"
"1746182604.981971000","192.168.45.101","210.220.163.82","66",,"53","46",,,,,,"64",,,
"1746182604.993940000","210.220.163.82","192.168.45.101","116",,"36874","96",,,,,,"248",,,
"1746182604.994657000","192.168.45.101","223.130.200.219","60",,,,"1","0","80","0","0","64",,,
"1746182605.007966000","223.130.200.219","192.168.45.101","60",,,,"1","1","50960","0","1","52",,,
"1746182605.007997000","192.168.45.101","223.130.200.219","52",,,,"0","1","80","1","1","64",,,
"1746182605.008151000","192.168.45.101","223.130.200.219","124",,,,"0","1","80","1","1","64",,,
"1746182605.025107000","223.130.200.219","192.168.45.101","462",,,,"0","1","50960","1","73","52",,,
"1746182605.025147000","192.168.45.101","223.130.200.219","52",,,,"0","1","80","73","411","64",,,
"1746182605.025464000","192.168.45.101","223.130.200.219","52",,,,"0","1","80","73","411","64",,,
"1746182605.043783000","223.130.200.219","192.168.45.101","52",,,,"0","1","50960","411","74","52",,,
"1746182605.043830000","192.168.45.101","223.130.200.219","52",,,,"0","1","80","74","412","64",,,
