frame.time_epoch,ip.src,ip.dst,ip.len,icmp.type,udp.dstport,udp.length,tcp.flags.syn,tcp.flags.ack,tcp.dstport,tcp.seq,tcp.ack,ip.ttl,arp.src.proto_ipv4,arp.dst.proto_ipv4,arp.opcode
"1745912311.331755000",,,,,,,,,,,,,"172.20.10.6","172.20.10.5","1"
"1745912311.331779000",,,,,,,,,,,,,"172.20.10.5","172.20.10.6","2"
"1745912311.441189000","172.20.10.6","172.20.10.1","81",,"53","61",,,,,,"64",,,
"1745912311.487482000","172.20.10.1","172.20.10.6","110",,"32911","90",,,,,,"64",,,
"1745912311.501336000",,,,,,,,,,,,,"172.20.10.6","172.20.10.5","1"
"1745912311.501377000",,,,,,,,,,,,,"172.20.10.5","172.20.10.6","2"
"1745912311.502233000","172.20.10.6","172.20.10.5","44",,,,"1","0","995","0","0","42",,,
"1745912311.502233000","172.20.10.6","172.20.10.5","44",,,,"1","0","113","0","0","57",,,
"1745912311.502233000","172.20.10.6","172.20.10.5","44",,,,"1","0","3306","0","0","53",,,
"1745912311.502290000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.502424000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.502510000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","143","0","0","49",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","554","0","0","46",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","587","0","0","54",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","135","0","0","46",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","3389","0","0","44",,,
"1745912311.502738000","172.20.10.6","172.20.10.5","44",,,,"1","0","256","0","0","56",,,
"1745912311.502739000","172.20.10.6","172.20.10.5","44",,,,"1","0","25","0","0","41",,,
"1745912311.502782000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.502887000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.502976000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.503062000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.503159000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.503259000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.503351000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.504325000","172.20.10.6","172.20.10.5","44",,,,"1","0","445","0","0","52",,,
"1745912311.504325000","172.20.10.6","172.20.10.5","44",,,,"1","0","21","0","0","57",,,
"1745912311.504326000","172.20.10.6","172.20.10.5","44",,,,"1","0","8888","0","0","41",,,
"1745912311.504379000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.504524000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.504628000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.504778000","172.20.10.6","172.20.10.5","44",,,,"1","0","80","0","0","42",,,
"1745912311.504778000","172.20.10.6","172.20.10.5","44",,,,"1","0","199","0","0","52",,,
"1745912311.504812000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.504923000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.505048000","172.20.10.6","172.20.10.5","44",,,,"1","0","23","0","0","53",,,
"1745912311.505076000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.505633000","172.20.10.6","172.20.10.5","44",,,,"1","0","993","0","0","43",,,
"1745912311.505690000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.505898000","172.20.10.6","172.20.10.5","44",,,,"1","0","110","0","0","42",,,
"1745912311.505940000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.506372000","172.20.10.6","172.20.10.5","44",,,,"1","0","1025","0","0","52",,,
"1745912311.506406000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.506567000","172.20.10.6","172.20.10.5","44",,,,"1","0","8080","0","0","38",,,
"1745912311.506602000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.506811000","172.20.10.6","172.20.10.5","44",,,,"1","0","5900","0","0","59",,,
"1745912311.506853000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
"1745912311.507373000","172.20.10.6","172.20.10.5","44",,,,"1","0","1720","0","0","40",,,
"1745912311.507373000","172.20.10.6","172.20.10.5","44",,,,"1","0","443","0","0","38",,,
"1745912311.507416000","172.20.10.5","172.20.10.6","40",,,,"0","1","38548","1","1","64",,,
